               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.072093,             0.02251,                   0,             0.24815,             0.38462,             0.15053,            0.052202,            0.072352,            0.013925,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.072461,            0.020972,                   0,              0.5688,             0.15385,             0.21058,            0.097223,            0.070449,            0.014601,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.070253,            0.022074,                   0,             0.81174,             0.15385,             0.21069,            0.049633,            0.072518,            0.014524,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.070993,            0.021487,                   0,             0.21992,             0.38462,             0.15462,            0.060475,            0.072731,            0.014431,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.071096,            0.021005,                   0,             0.32954,             0.15385,             0.16835,            0.069019,             0.07176,            0.013806,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.068495,            0.021484,                   0,             0.23876,             0.15385,             0.16596,            0.079353,            0.067927,            0.014205,                   0,            0.005842,            0.005842,            0.005842
                  44,              0.0695,            0.020357,                   0,             0.16015,             0.38462,              0.1208,            0.055644,            0.069905,            0.014075,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.069457,            0.021692,                   0,             0.20319,             0.23077,             0.20843,            0.094157,            0.067638,            0.014084,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.06865,            0.021346,                   0,             0.46438,             0.15385,               0.187,            0.082753,             0.06634,            0.013588,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.067051,            0.022091,                   0,             0.25635,             0.30769,             0.20612,            0.076699,            0.065981,            0.013657,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.066797,             0.02069,                   0,             0.79155,             0.15385,             0.23828,            0.060679,             0.06938,            0.014168,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.071276,            0.019839,                   0,             0.34928,             0.45458,             0.36622,            0.070187,            0.068274,            0.013727,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.067817,            0.021263,                   0,             0.44354,             0.38462,              0.3709,             0.14502,            0.064495,            0.013928,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.066167,            0.021423,                   0,             0.19924,             0.30769,             0.16585,            0.073093,            0.065884,            0.013992,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.066279,             0.02006,                   0,             0.39673,             0.23077,             0.19873,            0.070549,            0.063998,            0.014304,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.067162,            0.020291,                   0,             0.17473,             0.30769,             0.18325,            0.097827,            0.069362,            0.013305,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.067612,            0.020977,                   0,             0.22046,             0.38462,             0.24244,              0.1404,            0.074657,            0.012597,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.066019,            0.021751,                   0,             0.47336,             0.41645,             0.44781,             0.12245,            0.063789,            0.013319,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.063001,            0.021024,                   0,             0.63003,             0.23077,             0.30088,              0.1263,            0.063671,            0.013287,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.064033,            0.020668,                   0,             0.78808,             0.28935,             0.34434,             0.15526,            0.063338,            0.013082,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.063053,            0.020638,                   0,             0.65687,             0.30769,             0.35051,             0.11833,            0.065314,            0.013933,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.062549,            0.020644,                   0,             0.44162,             0.23077,             0.26408,             0.12279,            0.062943,            0.014099,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.062952,            0.020204,                   0,              0.4739,             0.38462,             0.27407,             0.10757,             0.06385,            0.013224,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.063623,            0.021445,                   0,             0.51757,             0.23077,             0.33866,             0.15078,            0.063712,             0.01376,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.063464,            0.020647,                   0,             0.36534,             0.30769,             0.18495,            0.070534,            0.066957,            0.014168,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.060134,            0.020561,                   0,             0.31421,             0.23077,             0.23917,             0.10734,            0.067424,            0.014685,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.061613,            0.020011,                   0,             0.42855,             0.46154,             0.38569,              0.1484,            0.064867,            0.012973,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.063819,            0.020247,                   0,              0.4554,             0.46154,             0.43308,             0.18262,            0.064586,            0.013716,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.060533,             0.01977,                   0,             0.24007,             0.53846,             0.22756,            0.066817,            0.069167,            0.014364,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.061404,            0.020049,                   0,             0.42902,             0.30769,              0.2375,             0.07694,             0.06622,            0.013172,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.062132,            0.019635,                   0,               0.381,             0.30769,             0.23196,              0.1038,            0.064851,            0.013775,                   0,            0.003367,            0.003367,            0.003367
