                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1326,                 1.0123,                 1.2835,                0.74033,                    0.7,                0.74371,                0.43882,                 1.5877,                 1.1387,                 1.7664,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0717,                0.98143,                 1.2717,                0.88803,                    0.6,                0.72747,                0.43207,                 1.6645,                 1.2573,                 1.7856,               0.000614,               0.000614,               0.000614
                     37,                 1.0976,                0.97877,                 1.3112,                0.98668,                    0.6,                0.69609,                0.44413,                 1.5406,                 1.6267,                 1.7391,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0926,                 1.0278,                 1.2849,                0.89361,                    0.5,                0.67639,                0.42291,                 1.6065,                 1.3423,                  1.921,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0284,                0.95685,                 1.2599,                0.58805,                    0.6,                0.63451,                0.40346,                 1.6553,                  1.473,                  1.966,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0276,                0.88464,                 1.2447,                0.62085,                    0.5,                0.59755,                0.41146,                 1.6648,                 1.5371,                 1.9286,              0.0004556,              0.0004556,              0.0004556
                     41,                0.94996,                0.79327,                 1.1926,                 0.5968,                    0.7,                0.66306,                0.45274,                 1.5955,                 1.4825,                 1.7974,               0.000416,               0.000416,               0.000416
                     42,                0.92708,                0.78074,                 1.2078,                 0.6376,                    0.6,                0.61878,                0.42954,                 1.6179,                  1.316,                 1.8432,              0.0003764,              0.0003764,              0.0003764
                     43,                0.88481,                  0.751,                 1.1651,                0.61247,                0.63429,                0.62759,                0.42186,                 1.5369,                 1.2728,                 1.7662,              0.0003368,              0.0003368,              0.0003368
                     44,                0.87862,                0.70649,                 1.1623,                0.61645,                0.64523,                0.64351,                0.42444,                  1.681,                 1.2155,                 1.8824,              0.0002972,              0.0002972,              0.0002972
                     45,                0.87515,                0.67465,                 1.1499,                0.62673,                    0.6,                0.64532,                0.43406,                 1.5546,                 1.2074,                 1.8234,              0.0002576,              0.0002576,              0.0002576
                     46,                0.85005,                0.64709,                 1.1356,                0.61968,                    0.7,                0.66264,                0.45434,                 1.5057,                 1.1466,                  1.783,               0.000218,               0.000218,               0.000218
                     47,                0.82413,                0.66417,                 1.1286,                0.63619,                    0.6,                0.67607,                0.47644,                 1.3821,                 1.0772,                 1.6552,              0.0001784,              0.0001784,              0.0001784
                     48,                0.78497,                0.60935,                 1.1032,                0.74526,                    0.7,                0.73645,                 0.4899,                 1.3926,                 1.0069,                   1.69,              0.0001388,              0.0001388,              0.0001388
                     49,                0.79385,                0.62245,                 1.1141,                0.74861,                    0.7,                0.73633,                0.50089,                 1.3984,                 1.0068,                 1.6783,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.76533,                0.62165,                 1.0905,                0.77228,                0.68019,                0.71885,                0.49589,                 1.4098,                0.99767,                 1.7269,               5.96e-05,               5.96e-05,               5.96e-05
